From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,
These data are summaries of data available online with the article:,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,
Photo.umolCO2 is CO2 flux into a leaf; it is a  measure of photosynthetic rate,,,,,,,,,,
,,,,,,,,,,
Plot,Tag,Season,Month,Treatment,Habit,Species,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2
1,60,wet,Sep,unwatered,liana,Machaeriummilleflorum,-0.214,-1.301,-1.087,NA
1,25,wet,Sep,unwatered,liana,Maripapanamensis,-0.091,-0.899,-0.808,NA
1,82,wet,Sep,unwatered,liana,Maripapanamensis,-0.182,-1.008,-0.826,NA
1,4,wet,Sep,unwatered,liana,Paulliniapinnata,-0.17,-1.004,-0.834,NA
1,95,wet,Sep,unwatered,liana,Paulliniapinnata,-0.122,-1.213,-1.091,NA
1,75,wet,Sep,unwatered,tree,Dipteryxoleifera,-0.183,-1.262,-1.079,NA
1,92,wet,Sep,unwatered,tree,Dipteryxoleifera,-0.257,-1.13,-0.873,NA
1,18,wet,Sep,unwatered,tree,Swieteniamacrophylla,-0.335,-0.573,-0.238,NA
1,6,wet,Sep,unwatered,tree,Terminaliaamazonia,-0.041,-0.617,-0.576,NA
1,61,wet,Sep,unwatered,tree,Terminaliaamazonia,-0.139,-0.821,-0.682,NA
2,145,dry,Apr,watered,liana,Callichlamyslatifolia,-0.571,-1.191,-0.62,NA
2,128,dry,Apr,watered,liana,Davillakunthii,-0.512,-2.427,-1.915,NA
2,175,dry,Apr,watered,liana,Davillakunthii,-0.254,-1.017,-0.763,NA
2,122,dry,Apr,watered,liana,Doliocarpusmajor,-0.601,-1.612,-1.011,NA
2,192,dry,Apr,watered,liana,Doliocarpusmajor,-0.386,-0.784,-0.398,NA
2,141,dry,Apr,watered,liana,Machaeriummilleflorum,-0.661,-1.873,-1.212,NA
