From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
3,watered,266,Dipteryxoleifera,tree,-0.69,-1.858,-1.168,NA,NA,NA,NA,33.6946,2_March_15,dry
3,watered,269,Hieronymaalchorneoides,tree,-0.903,-1.404,-0.501,NA,NA,NA,NA,31.616,7_March_15,dry
3,watered,288,Hieronymaalchorneoides,tree,-2.246,-2.799,-0.553,NA,NA,NA,NA,25.599,9_March_15,dry
3,watered,202,Huracrepitans,tree,-0.499,-0.716,-0.217,NA,NA,NA,NA,22.9734,2_March_15,dry
3,watered,281,Swieteniamacrophylla,tree,-1.485,-2.875,-1.39,NA,NA,NA,NA,21.3871,13_March_15,dry
3,watered,221,Terminaliaamazonia,tree,-1.265,-2.263,-0.998,NA,NA,NA,NA,25.8178,7_March_15,dry
3,watered,236,Terminaliaamazonia,tree,-0.491,-2.008,-1.517,NA,NA,NA,NA,28.5528,6_March_15,dry
4,unwatered,306,Callichlamyslatifolia,liana,-0.297,-1.524,-1.227,NA,NA,NA,NA,21.5512,9_March_15,dry
4,unwatered,394,Callichlamyslatifolia,liana,-0.574,-1.558,-0.984,NA,NA,NA,NA,21.223,2_March_15,dry
4,unwatered,320,Davillakunthii,liana,-0.782,-1.922,-1.14,NA,NA,NA,NA,33.804,11_March_15,dry
4,unwatered,330,Davillakunthii,liana,-1.868,-2.231,-0.363,NA,NA,NA,NA,21.77,13_March_15,dry
